Rows: 100 Columns: 100
Too large to print!
Number of tripods: 1000
Optimal placement:
location: (91,96), orientation: SOUTH, sum: 27
location: (16,6), orientation: SOUTH, sum: 27
location: (8,57), orientation: WEST, sum: 27
location: (7,56), orientation: SOUTH, sum: 27
location: (2,72), orientation: NORTH, sum: 27
location: (1,73), orientation: SOUTH, sum: 27
location: (1,71), orientation: EAST, sum: 27
location: (97,1), orientation: SOUTH, sum: 26
location: (90,87), orientation: NORTH, sum: 26
location: (88,79), orientation: NORTH, sum: 26
location: (88,66), orientation: SOUTH, sum: 26
location: (87,78), orientation: NORTH, sum: 26
location: (87,73), orientation: NORTH, sum: 26
location: (86,72), orientation: EAST, sum: 26
location: (81,68), orientation: NORTH, sum: 26
location: (80,39), orientation: EAST, sum: 26
location: (78,33), orientation: NORTH, sum: 26
location: (78,32), orientation: WEST, sum: 26
location: (77,81), orientation: SOUTH, sum: 26
location: (76,86), orientation: NORTH, sum: 26
location: (74,42), orientation: NORTH, sum: 26
location: (74,4), orientation: NORTH, sum: 26
location: (73,3), orientation: SOUTH, sum: 26
location: (71,60), orientation: NORTH, sum: 26
location: (71,13), orientation: WEST, sum: 26
location: (70,54), orientation: SOUTH, sum: 26
location: (68,8), orientation: SOUTH, sum: 26
location: (66,50), orientation: NORTH, sum: 26
location: (65,51), orientation: WEST, sum: 26
location: (65,49), orientation: EAST, sum: 26
location: (64,50), orientation: SOUTH, sum: 26
location: (62,21), orientation: EAST, sum: 26
location: (60,52), orientation: EAST, sum: 26
location: (60,22), orientation: SOUTH, sum: 26
location: (59,60), orientation: SOUTH, sum: 26
location: (59,23), orientation: EAST, sum: 26
location: (57,59), orientation: SOUTH, sum: 26
location: (57,1), orientation: SOUTH, sum: 26
location: (54,98), orientation: WEST, sum: 26
location: (51,59), orientation: NORTH, sum: 26
location: (50,26), orientation: EAST, sum: 26
location: (50,1), orientation: SOUTH, sum: 26
location: (49,76), orientation: SOUTH, sum: 26
location: (49,10), orientation: SOUTH, sum: 26
location: (47,58), orientation: NORTH, sum: 26
location: (46,22), orientation: SOUTH, sum: 26
location: (44,27), orientation: SOUTH, sum: 26
location: (40,36), orientation: NORTH, sum: 26
location: (39,80), orientation: EAST, sum: 26
location: (37,63), orientation: WEST, sum: 26
location: (36,90), orientation: NORTH, sum: 26
location: (36,62), orientation: EAST, sum: 26
location: (34,33), orientation: WEST, sum: 26
location: (34,29), orientation: WEST, sum: 26
location: (33,23), orientation: WEST, sum: 26
location: (31,88), orientation: NORTH, sum: 26
location: (31,61), orientation: SOUTH, sum: 26
location: (28,95), orientation: NORTH, sum: 26
location: (28,28), orientation: NORTH, sum: 26
location: (27,80), orientation: WEST, sum: 26
location: (27,40), orientation: WEST, sum: 26
location: (27,29), orientation: WEST, sum: 26
location: (25,72), orientation: WEST, sum: 26
location: (25,68), orientation: WEST, sum: 26
location: (25,3), orientation: WEST, sum: 26
location: (24,94), orientation: EAST, sum: 26
location: (24,71), orientation: SOUTH, sum: 26
location: (23,95), orientation: SOUTH, sum: 26
location: (23,4), orientation: WEST, sum: 26
location: (20,57), orientation: WEST, sum: 26
location: (19,59), orientation: NORTH, sum: 26
location: (18,50), orientation: SOUTH, sum: 26
location: (17,77), orientation: EAST, sum: 26
location: (13,45), orientation: WEST, sum: 26
location: (12,65), orientation: EAST, sum: 26
location: (10,2), orientation: EAST, sum: 26
location: (9,64), orientation: NORTH, sum: 26
location: (9,56), orientation: NORTH, sum: 26
location: (8,92), orientation: NORTH, sum: 26
location: (8,55), orientation: EAST, sum: 26
location: (8,37), orientation: NORTH, sum: 26
location: (8,34), orientation: EAST, sum: 26
location: (5,52), orientation: EAST, sum: 26
location: (5,43), orientation: EAST, sum: 26
location: (4,65), orientation: SOUTH, sum: 26
location: (2,74), orientation: NORTH, sum: 26
location: (1,90), orientation: WEST, sum: 26
location: (1,75), orientation: WEST, sum: 26
location: (98,86), orientation: EAST, sum: 25
location: (98,73), orientation: SOUTH, sum: 25
location: (98,2), orientation: WEST, sum: 25
location: (97,31), orientation: SOUTH, sum: 25
location: (96,69), orientation: WEST, sum: 25
location: (96,60), orientation: SOUTH, sum: 25
location: (95,76), orientation: EAST, sum: 25
location: (95,48), orientation: NORTH, sum: 25
location: (92,98), orientation: WEST, sum: 25
location: (92,97), orientation: NORTH, sum: 25
location: (92,4), orientation: EAST, sum: 25
location: (91,5), orientation: SOUTH, sum: 25
location: (90,68), orientation: EAST, sum: 25
location: (90,67), orientation: NORTH, sum: 25
location: (90,26), orientation: EAST, sum: 25
location: (89,88), orientation: SOUTH, sum: 25
location: (89,67), orientation: NORTH, sum: 25
location: (89,65), orientation: EAST, sum: 25
location: (89,35), orientation: SOUTH, sum: 25
location: (87,42), orientation: NORTH, sum: 25
location: (87,29), orientation: SOUTH, sum: 25
location: (86,43), orientation: SOUTH, sum: 25
location: (84,79), orientation: WEST, sum: 25
location: (83,98), orientation: EAST, sum: 25
location: (83,38), orientation: WEST, sum: 25
location: (82,45), orientation: EAST, sum: 25
location: (80,59), orientation: SOUTH, sum: 25
location: (79,71), orientation: WEST, sum: 25
location: (78,87), orientation: WEST, sum: 25
location: (78,27), orientation: WEST, sum: 25
location: (77,87), orientation: NORTH, sum: 25
location: (76,84), orientation: EAST, sum: 25
location: (76,83), orientation: SOUTH, sum: 25
location: (75,28), orientation: NORTH, sum: 25
location: (74,86), orientation: WEST, sum: 25
location: (74,54), orientation: NORTH, sum: 25
location: (74,13), orientation: WEST, sum: 25
location: (73,43), orientation: WEST, sum: 25
location: (73,21), orientation: NORTH, sum: 25
location: (72,54), orientation: WEST, sum: 25
location: (72,52), orientation: SOUTH, sum: 25
location: (72,29), orientation: NORTH, sum: 25
location: (71,50), orientation: NORTH, sum: 25
location: (71,22), orientation: SOUTH, sum: 25
location: (70,72), orientation: NORTH, sum: 25
location: (70,69), orientation: NORTH, sum: 25
location: (70,64), orientation: WEST, sum: 25
location: (70,49), orientation: EAST, sum: 25
location: (70,23), orientation: EAST, sum: 25
location: (70,12), orientation: SOUTH, sum: 25
location: (69,77), orientation: EAST, sum: 25
location: (69,50), orientation: WEST, sum: 25
location: (68,49), orientation: SOUTH, sum: 25
location: (68,34), orientation: EAST, sum: 25
location: (67,98), orientation: WEST, sum: 25
location: (67,51), orientation: EAST, sum: 25
location: (67,50), orientation: EAST, sum: 25
location: (67,35), orientation: SOUTH, sum: 25
location: (66,81), orientation: EAST, sum: 25
location: (66,62), orientation: WEST, sum: 25
location: (66,2), orientation: NORTH, sum: 25
location: (65,17), orientation: WEST, sum: 25
location: (64,38), orientation: WEST, sum: 25
location: (64,35), orientation: WEST, sum: 25
location: (63,83), orientation: WEST, sum: 25
location: (63,67), orientation: NORTH, sum: 25
location: (63,33), orientation: WEST, sum: 25
location: (62,76), orientation: EAST, sum: 25
location: (60,59), orientation: NORTH, sum: 25
location: (60,39), orientation: NORTH, sum: 25
location: (60,13), orientation: SOUTH, sum: 25
location: (60,6), orientation: WEST, sum: 25
location: (59,40), orientation: WEST, sum: 25
location: (59,5), orientation: EAST, sum: 25
location: (56,61), orientation: SOUTH, sum: 25
location: (56,45), orientation: EAST, sum: 25
location: (55,75), orientation: WEST, sum: 25
location: (55,71), orientation: EAST, sum: 25
location: (54,95), orientation: SOUTH, sum: 25
location: (53,60), orientation: NORTH, sum: 25
location: (53,57), orientation: SOUTH, sum: 25
location: (53,47), orientation: WEST, sum: 25
location: (53,37), orientation: NORTH, sum: 25
location: (52,93), orientation: NORTH, sum: 25
location: (52,71), orientation: NORTH, sum: 25
location: (52,70), orientation: NORTH, sum: 25
location: (52,69), orientation: NORTH, sum: 25
location: (52,64), orientation: EAST, sum: 25
location: (52,7), orientation: EAST, sum: 25
location: (51,72), orientation: WEST, sum: 25
location: (49,12), orientation: SOUTH, sum: 25
location: (49,3), orientation: SOUTH, sum: 25
location: (48,36), orientation: SOUTH, sum: 25
location: (48,10), orientation: SOUTH, sum: 25
location: (47,23), orientation: NORTH, sum: 25
location: (46,98), orientation: EAST, sum: 25
location: (46,91), orientation: EAST, sum: 25
location: (46,57), orientation: SOUTH, sum: 25
location: (45,92), orientation: SOUTH, sum: 25
location: (45,17), orientation: NORTH, sum: 25
location: (44,73), orientation: EAST, sum: 25
location: (44,67), orientation: WEST, sum: 25
location: (44,64), orientation: EAST, sum: 25
location: (43,49), orientation: EAST, sum: 25
location: (42,20), orientation: NORTH, sum: 25
location: (41,30), orientation: EAST, sum: 25
location: (41,11), orientation: SOUTH, sum: 25
location: (40,58), orientation: NORTH, sum: 25
location: (40,37), orientation: NORTH, sum: 25
location: (40,31), orientation: WEST, sum: 25
location: (39,63), orientation: EAST, sum: 25
location: (39,48), orientation: WEST, sum: 25
location: (39,37), orientation: SOUTH, sum: 25
location: (37,91), orientation: WEST, sum: 25
location: (35,84), orientation: NORTH, sum: 25
location: (34,97), orientation: NORTH, sum: 25
location: (34,46), orientation: EAST, sum: 25
location: (33,31), orientation: NORTH, sum: 25
location: (33,28), orientation: SOUTH, sum: 25
location: (32,63), orientation: WEST, sum: 25
location: (32,56), orientation: WEST, sum: 25
location: (32,33), orientation: EAST, sum: 25
location: (30,68), orientation: WEST, sum: 25
location: (29,1), orientation: EAST, sum: 25
location: (28,98), orientation: WEST, sum: 25
location: (27,95), orientation: NORTH, sum: 25
location: (27,7), orientation: SOUTH, sum: 25
location: (26,94), orientation: EAST, sum: 25
location: (26,79), orientation: EAST, sum: 25
location: (26,39), orientation: SOUTH, sum: 25
location: (26,31), orientation: SOUTH, sum: 25
location: (26,30), orientation: NORTH, sum: 25
location: (25,85), orientation: EAST, sum: 25
location: (25,1), orientation: NORTH, sum: 25
location: (24,67), orientation: EAST, sum: 25
location: (24,5), orientation: SOUTH, sum: 25
location: (20,46), orientation: WEST, sum: 25
location: (20,38), orientation: NORTH, sum: 25
location: (19,49), orientation: EAST, sum: 25
location: (19,37), orientation: SOUTH, sum: 25
location: (17,88), orientation: WEST, sum: 25
location: (17,31), orientation: EAST, sum: 25
location: (17,12), orientation: NORTH, sum: 25
location: (17,7), orientation: WEST, sum: 25
location: (16,57), orientation: SOUTH, sum: 25
location: (16,56), orientation: EAST, sum: 25
location: (15,77), orientation: WEST, sum: 25
location: (15,71), orientation: NORTH, sum: 25
location: (14,76), orientation: SOUTH, sum: 25
location: (14,66), orientation: WEST, sum: 25
location: (13,51), orientation: NORTH, sum: 25
location: (12,77), orientation: EAST, sum: 25
location: (12,44), orientation: EAST, sum: 25
location: (11,78), orientation: SOUTH, sum: 25
location: (11,76), orientation: NORTH, sum: 25
location: (11,45), orientation: EAST, sum: 25
location: (11,25), orientation: EAST, sum: 25
location: (11,3), orientation: WEST, sum: 25
location: (10,65), orientation: EAST, sum: 25
location: (9,82), orientation: WEST, sum: 25
location: (8,63), orientation: EAST, sum: 25
location: (7,93), orientation: WEST, sum: 25
location: (5,82), orientation: WEST, sum: 25
location: (5,64), orientation: EAST, sum: 25
location: (4,82), orientation: EAST, sum: 25
location: (4,4), orientation: WEST, sum: 25
location: (4,3), orientation: EAST, sum: 25
location: (3,60), orientation: WEST, sum: 25
location: (3,44), orientation: EAST, sum: 25
location: (3,2), orientation: NORTH, sum: 25
location: (2,91), orientation: NORTH, sum: 25
location: (2,85), orientation: WEST, sum: 25
location: (2,2), orientation: WEST, sum: 25
location: (1,97), orientation: WEST, sum: 25
location: (1,41), orientation: NORTH, sum: 25
location: (1,7), orientation: EAST, sum: 25
location: (98,93), orientation: EAST, sum: 24
location: (98,31), orientation: WEST, sum: 24
location: (98,30), orientation: NORTH, sum: 24
location: (97,94), orientation: SOUTH, sum: 24
location: (97,87), orientation: WEST, sum: 24
location: (97,61), orientation: WEST, sum: 24
location: (97,59), orientation: NORTH, sum: 24
location: (97,12), orientation: SOUTH, sum: 24
location: (96,84), orientation: NORTH, sum: 24
location: (95,85), orientation: WEST, sum: 24
location: (95,47), orientation: NORTH, sum: 24
location: (94,69), orientation: EAST, sum: 24
location: (94,47), orientation: SOUTH, sum: 24
location: (94,38), orientation: NORTH, sum: 24
location: (93,53), orientation: NORTH, sum: 24
location: (93,42), orientation: SOUTH, sum: 24
location: (93,39), orientation: WEST, sum: 24
location: (92,91), orientation: EAST, sum: 24
location: (91,47), orientation: EAST, sum: 24
location: (91,25), orientation: NORTH, sum: 24
location: (91,17), orientation: EAST, sum: 24
location: (89,81), orientation: NORTH, sum: 24
location: (89,50), orientation: WEST, sum: 24
location: (88,86), orientation: WEST, sum: 24
location: (88,64), orientation: NORTH, sum: 24
location: (88,43), orientation: WEST, sum: 24
location: (87,93), orientation: SOUTH, sum: 24
location: (87,83), orientation: WEST, sum: 24
location: (86,93), orientation: WEST, sum: 24
location: (84,83), orientation: EAST, sum: 24
location: (83,82), orientation: NORTH, sum: 24
location: (83,63), orientation: NORTH, sum: 24
location: (82,36), orientation: SOUTH, sum: 24
location: (81,75), orientation: SOUTH, sum: 24
location: (81,71), orientation: WEST, sum: 24
location: (81,55), orientation: WEST, sum: 24
location: (81,38), orientation: EAST, sum: 24
location: (81,20), orientation: NORTH, sum: 24
location: (81,13), orientation: NORTH, sum: 24
location: (81,10), orientation: SOUTH, sum: 24
location: (80,38), orientation: NORTH, sum: 24
location: (79,88), orientation: NORTH, sum: 24
location: (79,69), orientation: EAST, sum: 24
location: (79,39), orientation: SOUTH, sum: 24
location: (79,2), orientation: SOUTH, sum: 24
location: (78,70), orientation: SOUTH, sum: 24
location: (77,82), orientation: NORTH, sum: 24
location: (77,31), orientation: SOUTH, sum: 24
location: (76,78), orientation: NORTH, sum: 24
location: (74,52), orientation: EAST, sum: 24
location: (74,40), orientation: SOUTH, sum: 24
location: (74,23), orientation: NORTH, sum: 24
location: (74,2), orientation: EAST, sum: 24
location: (73,85), orientation: EAST, sum: 24
location: (73,76), orientation: NORTH, sum: 24
location: (73,22), orientation: EAST, sum: 24
location: (73,12), orientation: EAST, sum: 24
location: (72,44), orientation: NORTH, sum: 24
location: (72,23), orientation: WEST, sum: 24
location: (71,70), orientation: EAST, sum: 24
location: (71,57), orientation: EAST, sum: 24
location: (71,55), orientation: NORTH, sum: 24
location: (71,28), orientation: SOUTH, sum: 24
location: (71,25), orientation: NORTH, sum: 24
location: (70,67), orientation: NORTH, sum: 24
location: (70,26), orientation: SOUTH, sum: 24
location: (70,24), orientation: EAST, sum: 24
location: (70,14), orientation: NORTH, sum: 24
location: (70,5), orientation: NORTH, sum: 24
location: (69,73), orientation: WEST, sum: 24
location: (69,68), orientation: EAST, sum: 24
location: (69,59), orientation: EAST, sum: 24
location: (69,42), orientation: WEST, sum: 24
location: (69,31), orientation: NORTH, sum: 24
location: (69,23), orientation: NORTH, sum: 24
location: (69,21), orientation: SOUTH, sum: 24
location: (68,97), orientation: NORTH, sum: 24
location: (68,76), orientation: EAST, sum: 24
location: (68,30), orientation: EAST, sum: 24
location: (68,21), orientation: WEST, sum: 24
location: (68,1), orientation: SOUTH, sum: 24
location: (66,18), orientation: SOUTH, sum: 24
location: (65,82), orientation: EAST, sum: 24
location: (65,31), orientation: NORTH, sum: 24
location: (64,32), orientation: NORTH, sum: 24
location: (64,7), orientation: EAST, sum: 24
location: (63,57), orientation: EAST, sum: 24
location: (63,36), orientation: NORTH, sum: 24
location: (62,82), orientation: SOUTH, sum: 24
location: (62,68), orientation: WEST, sum: 24
location: (62,59), orientation: SOUTH, sum: 24
location: (62,54), orientation: SOUTH, sum: 24
location: (62,44), orientation: NORTH, sum: 24
location: (62,38), orientation: WEST, sum: 24
location: (62,34), orientation: NORTH, sum: 24
location: (62,6), orientation: NORTH, sum: 24
location: (62,3), orientation: EAST, sum: 24
location: (61,22), orientation: WEST, sum: 24
location: (61,14), orientation: NORTH, sum: 24
location: (60,69), orientation: WEST, sum: 24
location: (60,19), orientation: WEST, sum: 24
location: (59,38), orientation: EAST, sum: 24
location: (58,60), orientation: WEST, sum: 24
location: (58,58), orientation: EAST, sum: 24
location: (58,39), orientation: SOUTH, sum: 24
location: (58,24), orientation: WEST, sum: 24
location: (58,2), orientation: NORTH, sum: 24
location: (57,79), orientation: NORTH, sum: 24
location: (57,13), orientation: NORTH, sum: 24
location: (57,5), orientation: EAST, sum: 24
location: (56,78), orientation: EAST, sum: 24
location: (55,97), orientation: NORTH, sum: 24
location: (54,58), orientation: NORTH, sum: 24
location: (54,36), orientation: EAST, sum: 24
location: (53,72), orientation: NORTH, sum: 24
location: (53,71), orientation: WEST, sum: 24
location: (53,70), orientation: EAST, sum: 24
location: (52,73), orientation: SOUTH, sum: 24
location: (52,68), orientation: NORTH, sum: 24
location: (52,67), orientation: SOUTH, sum: 24
location: (52,66), orientation: SOUTH, sum: 24
location: (52,61), orientation: SOUTH, sum: 24
location: (52,38), orientation: EAST, sum: 24
location: (51,69), orientation: EAST, sum: 24
location: (51,62), orientation: NORTH, sum: 24
location: (51,8), orientation: WEST, sum: 24
location: (51,2), orientation: NORTH, sum: 24
location: (50,97), orientation: SOUTH, sum: 24
location: (50,84), orientation: EAST, sum: 24
location: (50,80), orientation: EAST, sum: 24
location: (50,63), orientation: WEST, sum: 24
location: (50,58), orientation: SOUTH, sum: 24
location: (50,49), orientation: EAST, sum: 24
location: (50,9), orientation: NORTH, sum: 24
location: (49,62), orientation: EAST, sum: 24
location: (49,19), orientation: EAST, sum: 24
location: (48,75), orientation: SOUTH, sum: 24
location: (46,59), orientation: WEST, sum: 24
location: (46,30), orientation: NORTH, sum: 24
location: (46,21), orientation: NORTH, sum: 24
location: (45,97), orientation: EAST, sum: 24
location: (45,74), orientation: WEST, sum: 24
location: (45,66), orientation: NORTH, sum: 24
location: (45,31), orientation: SOUTH, sum: 24
location: (45,20), orientation: EAST, sum: 24
location: (45,1), orientation: NORTH, sum: 24
location: (44,97), orientation: EAST, sum: 24
location: (44,2), orientation: WEST, sum: 24
location: (42,50), orientation: SOUTH, sum: 24
location: (42,29), orientation: SOUTH, sum: 24
location: (41,72), orientation: NORTH, sum: 24
location: (41,21), orientation: WEST, sum: 24
location: (41,13), orientation: WEST, sum: 24
location: (41,9), orientation: EAST, sum: 24
location: (40,81), orientation: WEST, sum: 24
location: (40,47), orientation: EAST, sum: 24
location: (40,43), orientation: WEST, sum: 24
location: (40,38), orientation: WEST, sum: 24
location: (40,20), orientation: EAST, sum: 24
location: (40,15), orientation: EAST, sum: 24
location: (40,14), orientation: NORTH, sum: 24
location: (39,71), orientation: WEST, sum: 24
location: (39,57), orientation: EAST, sum: 24
location: (39,36), orientation: SOUTH, sum: 24
location: (38,81), orientation: WEST, sum: 24
location: (38,64), orientation: WEST, sum: 24
location: (38,51), orientation: EAST, sum: 24
location: (38,26), orientation: WEST, sum: 24
location: (37,25), orientation: EAST, sum: 24
location: (36,54), orientation: SOUTH, sum: 24
location: (36,26), orientation: SOUTH, sum: 24
location: (36,17), orientation: NORTH, sum: 24
location: (35,89), orientation: SOUTH, sum: 24
location: (35,63), orientation: WEST, sum: 24
location: (35,17), orientation: WEST, sum: 24
location: (34,34), orientation: EAST, sum: 24
location: (34,16), orientation: SOUTH, sum: 24
location: (33,35), orientation: WEST, sum: 24
location: (33,34), orientation: NORTH, sum: 24
location: (32,97), orientation: WEST, sum: 24
location: (32,59), orientation: NORTH, sum: 24
location: (32,43), orientation: NORTH, sum: 24
location: (32,34), orientation: EAST, sum: 24
location: (31,90), orientation: NORTH, sum: 24
location: (31,71), orientation: SOUTH, sum: 24
location: (31,69), orientation: SOUTH, sum: 24
location: (31,63), orientation: NORTH, sum: 24
location: (31,48), orientation: NORTH, sum: 24
location: (31,42), orientation: SOUTH, sum: 24
location: (30,74), orientation: EAST, sum: 24
location: (30,16), orientation: EAST, sum: 24
location: (30,15), orientation: WEST, sum: 24
location: (29,91), orientation: NORTH, sum: 24
location: (29,88), orientation: EAST, sum: 24
location: (29,66), orientation: EAST, sum: 24
location: (29,54), orientation: WEST, sum: 24
location: (29,31), orientation: SOUTH, sum: 24
location: (28,81), orientation: SOUTH, sum: 24
location: (28,79), orientation: EAST, sum: 24
location: (28,67), orientation: SOUTH, sum: 24
location: (27,71), orientation: WEST, sum: 24
location: (26,86), orientation: WEST, sum: 24
location: (26,73), orientation: WEST, sum: 24
location: (26,51), orientation: NORTH, sum: 24
location: (26,38), orientation: NORTH, sum: 24
location: (26,37), orientation: SOUTH, sum: 24
location: (26,35), orientation: SOUTH, sum: 24
location: (25,76), orientation: NORTH, sum: 24
location: (25,6), orientation: WEST, sum: 24
location: (24,82), orientation: SOUTH, sum: 24
location: (24,58), orientation: WEST, sum: 24
location: (23,81), orientation: WEST, sum: 24
location: (23,27), orientation: EAST, sum: 24
location: (22,73), orientation: EAST, sum: 24
location: (21,86), orientation: NORTH, sum: 24
location: (21,74), orientation: WEST, sum: 24
location: (21,29), orientation: WEST, sum: 24
location: (20,87), orientation: WEST, sum: 24
location: (20,77), orientation: WEST, sum: 24
location: (20,28), orientation: EAST, sum: 24
location: (19,86), orientation: EAST, sum: 24
location: (19,58), orientation: NORTH, sum: 24
location: (19,44), orientation: EAST, sum: 24
location: (19,39), orientation: SOUTH, sum: 24
location: (19,38), orientation: EAST, sum: 24
location: (18,58), orientation: SOUTH, sum: 24
location: (18,32), orientation: WEST, sum: 24
location: (17,86), orientation: EAST, sum: 24
location: (17,58), orientation: WEST, sum: 24
location: (17,57), orientation: WEST, sum: 24
location: (16,78), orientation: WEST, sum: 24
location: (16,4), orientation: EAST, sum: 24
location: (16,1), orientation: NORTH, sum: 24
location: (15,65), orientation: EAST, sum: 24
location: (15,5), orientation: EAST, sum: 24
location: (15,2), orientation: SOUTH, sum: 24
location: (14,91), orientation: WEST, sum: 24
location: (14,64), orientation: NORTH, sum: 24
location: (14,49), orientation: WEST, sum: 24
location: (14,40), orientation: NORTH, sum: 24
location: (14,21), orientation: SOUTH, sum: 24
location: (13,94), orientation: EAST, sum: 24
location: (13,65), orientation: SOUTH, sum: 24
location: (13,41), orientation: SOUTH, sum: 24
location: (12,87), orientation: EAST, sum: 24
location: (11,88), orientation: SOUTH, sum: 24
location: (11,70), orientation: EAST, sum: 24
location: (11,66), orientation: WEST, sum: 24
location: (10,87), orientation: EAST, sum: 24
location: (10,77), orientation: SOUTH, sum: 24
location: (10,55), orientation: WEST, sum: 24
location: (9,61), orientation: NORTH, sum: 24
location: (9,38), orientation: WEST, sum: 24
location: (9,10), orientation: NORTH, sum: 24
location: (9,3), orientation: SOUTH, sum: 24
location: (8,85), orientation: NORTH, sum: 24
location: (8,60), orientation: EAST, sum: 24
location: (7,92), orientation: NORTH, sum: 24
location: (7,91), orientation: SOUTH, sum: 24
location: (7,78), orientation: NORTH, sum: 24
location: (7,64), orientation: WEST, sum: 24
location: (6,75), orientation: EAST, sum: 24
location: (5,28), orientation: SOUTH, sum: 24
location: (5,3), orientation: NORTH, sum: 24
location: (4,85), orientation: NORTH, sum: 24
location: (3,84), orientation: EAST, sum: 24
location: (3,83), orientation: SOUTH, sum: 24
location: (3,73), orientation: WEST, sum: 24
location: (3,3), orientation: SOUTH, sum: 24
location: (2,56), orientation: NORTH, sum: 24
location: (1,84), orientation: SOUTH, sum: 24
location: (1,62), orientation: NORTH, sum: 24
location: (1,40), orientation: SOUTH, sum: 24
location: (1,1), orientation: EAST, sum: 24
location: (0,96), orientation: SOUTH, sum: 24
location: (99,87), orientation: NORTH, sum: 23
location: (99,72), orientation: NORTH, sum: 23
location: (99,35), orientation: NORTH, sum: 23
location: (98,75), orientation: NORTH, sum: 23
location: (98,71), orientation: NORTH, sum: 23
location: (98,41), orientation: SOUTH, sum: 23
location: (98,13), orientation: SOUTH, sum: 23
location: (98,0), orientation: EAST, sum: 23
location: (97,85), orientation: EAST, sum: 23
location: (97,70), orientation: SOUTH, sum: 23
location: (97,14), orientation: SOUTH, sum: 23
location: (96,87), orientation: EAST, sum: 23
location: (96,86), orientation: SOUTH, sum: 23
location: (96,77), orientation: NORTH, sum: 23
location: (96,23), orientation: SOUTH, sum: 23
location: (96,2), orientation: EAST, sum: 23
location: (96,1), orientation: SOUTH, sum: 23
location: (95,88), orientation: SOUTH, sum: 23
location: (95,46), orientation: NORTH, sum: 23
location: (95,43), orientation: NORTH, sum: 23
location: (95,39), orientation: NORTH, sum: 23
location: (94,94), orientation: EAST, sum: 23
location: (94,49), orientation: WEST, sum: 23
location: (94,20), orientation: EAST, sum: 23
location: (93,92), orientation: NORTH, sum: 23
location: (93,63), orientation: SOUTH, sum: 23
location: (93,47), orientation: EAST, sum: 23
location: (93,21), orientation: SOUTH, sum: 23
location: (92,73), orientation: NORTH, sum: 23
location: (92,62), orientation: WEST, sum: 23
location: (92,55), orientation: SOUTH, sum: 23
location: (92,48), orientation: WEST, sum: 23
location: (91,61), orientation: NORTH, sum: 23
location: (90,69), orientation: SOUTH, sum: 23
location: (90,59), orientation: WEST, sum: 23
location: (88,55), orientation: WEST, sum: 23
location: (88,49), orientation: EAST, sum: 23
location: (88,5), orientation: SOUTH, sum: 23
location: (87,92), orientation: NORTH, sum: 23
location: (87,81), orientation: SOUTH, sum: 23
location: (87,80), orientation: SOUTH, sum: 23
location: (87,71), orientation: SOUTH, sum: 23
location: (86,92), orientation: WEST, sum: 23
location: (85,97), orientation: NORTH, sum: 23
location: (85,86), orientation: SOUTH, sum: 23
location: (85,84), orientation: NORTH, sum: 23
location: (85,23), orientation: WEST, sum: 23
location: (85,19), orientation: SOUTH, sum: 23
location: (84,26), orientation: WEST, sum: 23
location: (84,22), orientation: EAST, sum: 23
location: (83,26), orientation: SOUTH, sum: 23
location: (83,23), orientation: WEST, sum: 23
location: (82,54), orientation: EAST, sum: 23
location: (82,39), orientation: NORTH, sum: 23
location: (82,37), orientation: SOUTH, sum: 23
