Rows: 1000 Columns: 1000
Too large to print!
Number of tripods: 5000
Optimal placement:
location: (999,318), orientation: NORTH, sum: 27
location: (987,561), orientation: WEST, sum: 27
location: (987,80), orientation: EAST, sum: 27
location: (987,39), orientation: WEST, sum: 27
location: (986,761), orientation: NORTH, sum: 27
location: (986,727), orientation: WEST, sum: 27
location: (986,210), orientation: SOUTH, sum: 27
location: (986,200), orientation: WEST, sum: 27
location: (986,90), orientation: WEST, sum: 27
location: (985,870), orientation: WEST, sum: 27
location: (985,726), orientation: EAST, sum: 27
location: (985,199), orientation: SOUTH, sum: 27
location: (985,173), orientation: SOUTH, sum: 27
location: (985,89), orientation: NORTH, sum: 27
location: (984,987), orientation: WEST, sum: 27
location: (984,869), orientation: SOUTH, sum: 27
location: (984,579), orientation: NORTH, sum: 27
location: (984,12), orientation: NORTH, sum: 27
location: (983,742), orientation: SOUTH, sum: 27
location: (983,147), orientation: SOUTH, sum: 27
location: (982,764), orientation: WEST, sum: 27
location: (982,736), orientation: NORTH, sum: 27
location: (982,525), orientation: SOUTH, sum: 27
location: (982,296), orientation: WEST, sum: 27
location: (982,208), orientation: NORTH, sum: 27
location: (981,735), orientation: EAST, sum: 27
location: (981,448), orientation: EAST, sum: 27
location: (981,234), orientation: NORTH, sum: 27
location: (980,908), orientation: SOUTH, sum: 27
location: (980,736), orientation: WEST, sum: 27
location: (980,693), orientation: NORTH, sum: 27
location: (980,497), orientation: EAST, sum: 27
location: (980,359), orientation: NORTH, sum: 27
location: (980,260), orientation: NORTH, sum: 27
location: (979,598), orientation: EAST, sum: 27
location: (979,265), orientation: EAST, sum: 27
location: (979,261), orientation: SOUTH, sum: 27
location: (978,936), orientation: WEST, sum: 27
location: (978,790), orientation: SOUTH, sum: 27
location: (978,307), orientation: SOUTH, sum: 27
location: (978,169), orientation: SOUTH, sum: 27
location: (978,58), orientation: SOUTH, sum: 27
location: (977,869), orientation: SOUTH, sum: 27
location: (976,947), orientation: SOUTH, sum: 27
location: (976,848), orientation: NORTH, sum: 27
location: (976,751), orientation: SOUTH, sum: 27
location: (976,139), orientation: NORTH, sum: 27
location: (974,745), orientation: EAST, sum: 27
location: (974,422), orientation: EAST, sum: 27
location: (974,152), orientation: NORTH, sum: 27
location: (973,967), orientation: EAST, sum: 27
location: (973,927), orientation: SOUTH, sum: 27
location: (973,876), orientation: EAST, sum: 27
location: (973,613), orientation: WEST, sum: 27
location: (973,423), orientation: SOUTH, sum: 27
location: (973,151), orientation: SOUTH, sum: 27
location: (972,724), orientation: SOUTH, sum: 27
location: (972,182), orientation: WEST, sum: 27
location: (971,896), orientation: NORTH, sum: 27
location: (971,689), orientation: NORTH, sum: 27
location: (971,173), orientation: NORTH, sum: 27
location: (970,949), orientation: WEST, sum: 27
location: (970,895), orientation: SOUTH, sum: 27
location: (970,690), orientation: WEST, sum: 27
location: (970,536), orientation: EAST, sum: 27
location: (968,869), orientation: SOUTH, sum: 27
location: (968,353), orientation: WEST, sum: 27
location: (968,287), orientation: NORTH, sum: 27
location: (967,933), orientation: SOUTH, sum: 27
location: (967,928), orientation: WEST, sum: 27
location: (967,793), orientation: WEST, sum: 27
location: (967,127), orientation: WEST, sum: 27
location: (967,5), orientation: NORTH, sum: 27
location: (966,895), orientation: EAST, sum: 27
location: (966,499), orientation: SOUTH, sum: 27
location: (966,460), orientation: WEST, sum: 27
location: (966,435), orientation: SOUTH, sum: 27
location: (966,363), orientation: NORTH, sum: 27
location: (966,126), orientation: EAST, sum: 27
location: (966,4), orientation: SOUTH, sum: 27
location: (965,867), orientation: NORTH, sum: 27
location: (965,414), orientation: EAST, sum: 27
location: (965,385), orientation: WEST, sum: 27
location: (964,751), orientation: NORTH, sum: 27
location: (964,555), orientation: NORTH, sum: 27
location: (964,225), orientation: EAST, sum: 27
location: (963,710), orientation: WEST, sum: 27
location: (963,423), orientation: SOUTH, sum: 27
location: (963,342), orientation: SOUTH, sum: 27
location: (962,919), orientation: SOUTH, sum: 27
location: (962,853), orientation: WEST, sum: 27
location: (962,631), orientation: EAST, sum: 27
location: (962,492), orientation: EAST, sum: 27
location: (962,347), orientation: NORTH, sum: 27
location: (962,271), orientation: SOUTH, sum: 27
location: (961,709), orientation: SOUTH, sum: 27
location: (961,379), orientation: SOUTH, sum: 27
location: (961,358), orientation: SOUTH, sum: 27
location: (961,115), orientation: WEST, sum: 27
location: (961,102), orientation: NORTH, sum: 27
location: (960,803), orientation: EAST, sum: 27
location: (959,867), orientation: EAST, sum: 27
location: (959,804), orientation: SOUTH, sum: 27
location: (959,510), orientation: EAST, sum: 27
location: (958,883), orientation: SOUTH, sum: 27
location: (958,289), orientation: SOUTH, sum: 27
location: (958,221), orientation: NORTH, sum: 27
location: (958,89), orientation: WEST, sum: 27
location: (958,27), orientation: NORTH, sum: 27
location: (957,895), orientation: EAST, sum: 27
location: (957,142), orientation: SOUTH, sum: 27
location: (956,823), orientation: EAST, sum: 27
location: (956,717), orientation: WEST, sum: 27
location: (956,74), orientation: SOUTH, sum: 27
location: (955,777), orientation: SOUTH, sum: 27
location: (955,621), orientation: NORTH, sum: 27
location: (955,527), orientation: EAST, sum: 27
location: (955,301), orientation: NORTH, sum: 27
location: (954,869), orientation: SOUTH, sum: 27
location: (954,781), orientation: SOUTH, sum: 27
location: (954,622), orientation: WEST, sum: 27
location: (954,561), orientation: NORTH, sum: 27
location: (953,621), orientation: EAST, sum: 27
location: (952,916), orientation: EAST, sum: 27
location: (952,642), orientation: WEST, sum: 27
location: (952,540), orientation: SOUTH, sum: 27
location: (951,776), orientation: WEST, sum: 27
location: (951,267), orientation: SOUTH, sum: 27
location: (951,97), orientation: EAST, sum: 27
location: (951,24), orientation: WEST, sum: 27
location: (950,921), orientation: WEST, sum: 27
location: (950,750), orientation: SOUTH, sum: 27
location: (950,713), orientation: EAST, sum: 27
location: (950,23), orientation: SOUTH, sum: 27
location: (949,940), orientation: WEST, sum: 27
location: (948,901), orientation: SOUTH, sum: 27
location: (948,664), orientation: WEST, sum: 27
location: (948,557), orientation: NORTH, sum: 27
location: (948,501), orientation: EAST, sum: 27
location: (947,607), orientation: NORTH, sum: 27
location: (947,558), orientation: WEST, sum: 27
location: (947,556), orientation: SOUTH, sum: 27
location: (947,521), orientation: SOUTH, sum: 27
location: (947,346), orientation: EAST, sum: 27
location: (946,781), orientation: EAST, sum: 27
location: (946,347), orientation: WEST, sum: 27
location: (945,714), orientation: NORTH, sum: 27
location: (945,380), orientation: EAST, sum: 27
location: (944,715), orientation: SOUTH, sum: 27
location: (943,848), orientation: EAST, sum: 27
location: (943,547), orientation: NORTH, sum: 27
location: (943,29), orientation: NORTH, sum: 27
location: (942,603), orientation: EAST, sum: 27
location: (942,546), orientation: EAST, sum: 27
location: (941,899), orientation: WEST, sum: 27
location: (941,796), orientation: WEST, sum: 27
location: (941,604), orientation: WEST, sum: 27
location: (941,583), orientation: NORTH, sum: 27
location: (941,519), orientation: NORTH, sum: 27
location: (941,439), orientation: SOUTH, sum: 27
location: (940,582), orientation: EAST, sum: 27
location: (940,176), orientation: WEST, sum: 27
location: (939,753), orientation: NORTH, sum: 27
location: (939,297), orientation: SOUTH, sum: 27
location: (938,959), orientation: EAST, sum: 27
location: (938,873), orientation: NORTH, sum: 27
location: (938,811), orientation: EAST, sum: 27
location: (938,752), orientation: SOUTH, sum: 27
location: (938,682), orientation: SOUTH, sum: 27
location: (938,500), orientation: EAST, sum: 27
location: (938,489), orientation: SOUTH, sum: 27
location: (938,398), orientation: WEST, sum: 27
location: (938,80), orientation: SOUTH, sum: 27
location: (937,987), orientation: NORTH, sum: 27
location: (937,568), orientation: EAST, sum: 27
location: (937,499), orientation: NORTH, sum: 27
location: (936,989), orientation: SOUTH, sum: 27
location: (936,500), orientation: WEST, sum: 27
location: (936,441), orientation: SOUTH, sum: 27
location: (935,673), orientation: WEST, sum: 27
location: (935,358), orientation: NORTH, sum: 27
location: (935,296), orientation: EAST, sum: 27
location: (935,212), orientation: WEST, sum: 27
location: (934,583), orientation: SOUTH, sum: 27
location: (934,524), orientation: SOUTH, sum: 27
location: (934,359), orientation: SOUTH, sum: 27
location: (934,318), orientation: SOUTH, sum: 27
location: (934,297), orientation: WEST, sum: 27
location: (934,76), orientation: SOUTH, sum: 27
location: (933,701), orientation: WEST, sum: 27
location: (933,584), orientation: EAST, sum: 27
location: (933,557), orientation: EAST, sum: 27
location: (933,525), orientation: EAST, sum: 27
location: (933,368), orientation: WEST, sum: 27
location: (933,351), orientation: EAST, sum: 27
location: (933,228), orientation: NORTH, sum: 27
location: (933,26), orientation: EAST, sum: 27
location: (932,779), orientation: WEST, sum: 27
location: (932,721), orientation: EAST, sum: 27
location: (932,546), orientation: NORTH, sum: 27
location: (932,60), orientation: NORTH, sum: 27
location: (932,27), orientation: WEST, sum: 27
location: (932,19), orientation: NORTH, sum: 27
location: (931,850), orientation: NORTH, sum: 27
location: (931,800), orientation: NORTH, sum: 27
location: (931,778), orientation: EAST, sum: 27
location: (931,638), orientation: NORTH, sum: 27
location: (931,385), orientation: EAST, sum: 27
location: (931,336), orientation: SOUTH, sum: 27
location: (931,79), orientation: SOUTH, sum: 27
location: (931,18), orientation: SOUTH, sum: 27
location: (930,799), orientation: EAST, sum: 27
location: (930,637), orientation: SOUTH, sum: 27
location: (930,635), orientation: NORTH, sum: 27
location: (930,218), orientation: EAST, sum: 27
location: (928,870), orientation: EAST, sum: 27
location: (928,824), orientation: WEST, sum: 27
location: (928,614), orientation: NORTH, sum: 27
location: (928,419), orientation: SOUTH, sum: 27
location: (928,130), orientation: EAST, sum: 27
location: (927,960), orientation: EAST, sum: 27
location: (927,711), orientation: EAST, sum: 27
location: (927,664), orientation: SOUTH, sum: 27
location: (927,506), orientation: SOUTH, sum: 27
location: (927,317), orientation: NORTH, sum: 27
location: (927,58), orientation: NORTH, sum: 27
location: (926,613), orientation: SOUTH, sum: 27
location: (926,436), orientation: EAST, sum: 27
location: (926,413), orientation: WEST, sum: 27
location: (926,318), orientation: SOUTH, sum: 27
location: (926,124), orientation: NORTH, sum: 27
location: (926,110), orientation: EAST, sum: 27
location: (925,437), orientation: SOUTH, sum: 27
location: (925,412), orientation: SOUTH, sum: 27
location: (925,111), orientation: WEST, sum: 27
location: (924,894), orientation: EAST, sum: 27
location: (924,520), orientation: NORTH, sum: 27
location: (924,383), orientation: SOUTH, sum: 27
location: (924,381), orientation: NORTH, sum: 27
location: (924,172), orientation: SOUTH, sum: 27
location: (922,880), orientation: EAST, sum: 27
location: (922,690), orientation: SOUTH, sum: 27
location: (922,504), orientation: WEST, sum: 27
location: (922,329), orientation: NORTH, sum: 27
location: (922,299), orientation: EAST, sum: 27
location: (922,62), orientation: NORTH, sum: 27
location: (921,897), orientation: EAST, sum: 27
location: (921,661), orientation: WEST, sum: 27
location: (921,565), orientation: WEST, sum: 27
location: (920,660), orientation: EAST, sum: 27
location: (920,564), orientation: EAST, sum: 27
location: (920,209), orientation: NORTH, sum: 27
location: (920,205), orientation: WEST, sum: 27
location: (919,976), orientation: NORTH, sum: 27
location: (919,661), orientation: SOUTH, sum: 27
location: (919,437), orientation: NORTH, sum: 27
location: (919,289), orientation: NORTH, sum: 27
location: (919,210), orientation: WEST, sum: 27
location: (919,208), orientation: EAST, sum: 27
location: (919,205), orientation: NORTH, sum: 27
location: (918,288), orientation: SOUTH, sum: 27
location: (918,211), orientation: NORTH, sum: 27
location: (918,209), orientation: NORTH, sum: 27
location: (918,206), orientation: SOUTH, sum: 27
location: (917,949), orientation: EAST, sum: 27
location: (917,779), orientation: WEST, sum: 27
location: (917,532), orientation: WEST, sum: 27
location: (917,236), orientation: EAST, sum: 27
location: (917,212), orientation: SOUTH, sum: 27
location: (917,210), orientation: SOUTH, sum: 27
location: (916,967), orientation: SOUTH, sum: 27
location: (916,778), orientation: SOUTH, sum: 27
location: (916,616), orientation: NORTH, sum: 27
location: (916,598), orientation: SOUTH, sum: 27
location: (915,921), orientation: WEST, sum: 27
location: (915,901), orientation: WEST, sum: 27
location: (915,615), orientation: EAST, sum: 27
location: (915,596), orientation: WEST, sum: 27
location: (915,288), orientation: NORTH, sum: 27
location: (914,900), orientation: SOUTH, sum: 27
location: (914,768), orientation: NORTH, sum: 27
location: (914,632), orientation: EAST, sum: 27
location: (914,448), orientation: EAST, sum: 27
location: (913,969), orientation: WEST, sum: 27
location: (913,792), orientation: EAST, sum: 27
location: (913,769), orientation: SOUTH, sum: 27
location: (913,633), orientation: SOUTH, sum: 27
location: (913,625), orientation: WEST, sum: 27
location: (913,340), orientation: NORTH, sum: 27
location: (912,886), orientation: EAST, sum: 27
location: (912,697), orientation: WEST, sum: 27
location: (912,624), orientation: EAST, sum: 27
location: (912,448), orientation: WEST, sum: 27
location: (912,232), orientation: NORTH, sum: 27
location: (912,188), orientation: EAST, sum: 27
location: (910,681), orientation: EAST, sum: 27
location: (909,542), orientation: NORTH, sum: 27
location: (909,526), orientation: NORTH, sum: 27
location: (908,682), orientation: SOUTH, sum: 27
location: (908,544), orientation: WEST, sum: 27
location: (908,541), orientation: SOUTH, sum: 27
location: (908,189), orientation: SOUTH, sum: 27
location: (907,938), orientation: EAST, sum: 27
location: (907,577), orientation: SOUTH, sum: 27
location: (907,543), orientation: EAST, sum: 27
location: (906,46), orientation: SOUTH, sum: 27
location: (905,800), orientation: NORTH, sum: 27
location: (905,664), orientation: SOUTH, sum: 27
location: (905,611), orientation: NORTH, sum: 27
location: (905,255), orientation: NORTH, sum: 27
location: (905,221), orientation: NORTH, sum: 27
location: (905,205), orientation: NORTH, sum: 27
location: (905,184), orientation: WEST, sum: 27
location: (905,50), orientation: NORTH, sum: 27
location: (904,799), orientation: SOUTH, sum: 27
location: (904,597), orientation: EAST, sum: 27
location: (904,438), orientation: SOUTH, sum: 27
location: (904,254), orientation: SOUTH, sum: 27
location: (904,216), orientation: EAST, sum: 27
location: (904,206), orientation: SOUTH, sum: 27
location: (904,93), orientation: EAST, sum: 27
location: (903,907), orientation: WEST, sum: 27
location: (903,516), orientation: WEST, sum: 27
location: (903,502), orientation: NORTH, sum: 27
location: (903,439), orientation: EAST, sum: 27
location: (903,77), orientation: WEST, sum: 27
location: (902,906), orientation: EAST, sum: 27
location: (902,901), orientation: NORTH, sum: 27
location: (902,765), orientation: NORTH, sum: 27
location: (902,571), orientation: EAST, sum: 27
location: (902,567), orientation: NORTH, sum: 27
location: (902,515), orientation: EAST, sum: 27
location: (902,224), orientation: SOUTH, sum: 27
location: (901,816), orientation: NORTH, sum: 27
location: (901,8), orientation: SOUTH, sum: 27
location: (900,970), orientation: NORTH, sum: 27
location: (900,880), orientation: WEST, sum: 27
location: (900,863), orientation: WEST, sum: 27
location: (900,817), orientation: WEST, sum: 27
location: (900,620), orientation: NORTH, sum: 27
location: (900,425), orientation: EAST, sum: 27
location: (899,971), orientation: SOUTH, sum: 27
location: (899,619), orientation: EAST, sum: 27
location: (899,473), orientation: EAST, sum: 27
location: (899,323), orientation: WEST, sum: 27
location: (898,34), orientation: NORTH, sum: 27
location: (897,799), orientation: WEST, sum: 27
location: (897,727), orientation: NORTH, sum: 27
location: (897,340), orientation: WEST, sum: 27
location: (897,197), orientation: EAST, sum: 27
location: (896,953), orientation: SOUTH, sum: 27
location: (896,728), orientation: SOUTH, sum: 27
location: (896,222), orientation: WEST, sum: 27
location: (896,120), orientation: SOUTH, sum: 27
location: (896,96), orientation: EAST, sum: 27
location: (895,851), orientation: WEST, sum: 27
location: (895,650), orientation: WEST, sum: 27
location: (895,382), orientation: NORTH, sum: 27
location: (894,599), orientation: WEST, sum: 27
location: (894,381), orientation: SOUTH, sum: 27
location: (894,181), orientation: WEST, sum: 27
location: (893,912), orientation: NORTH, sum: 27
location: (893,237), orientation: NORTH, sum: 27
location: (893,227), orientation: NORTH, sum: 27
location: (892,904), orientation: WEST, sum: 27
location: (892,238), orientation: WEST, sum: 27
location: (892,203), orientation: WEST, sum: 27
location: (892,3), orientation: SOUTH, sum: 27
location: (891,903), orientation: SOUTH, sum: 27
location: (891,389), orientation: EAST, sum: 27
location: (890,902), orientation: WEST, sum: 27
location: (890,726), orientation: WEST, sum: 27
location: (890,537), orientation: WEST, sum: 27
location: (890,211), orientation: SOUTH, sum: 27
location: (889,739), orientation: NORTH, sum: 27
location: (889,728), orientation: NORTH, sum: 27
location: (889,725), orientation: SOUTH, sum: 27
location: (889,543), orientation: EAST, sum: 27
location: (889,536), orientation: SOUTH, sum: 27
location: (889,493), orientation: EAST, sum: 27
location: (889,136), orientation: SOUTH, sum: 27
location: (889,13), orientation: NORTH, sum: 27
location: (888,14), orientation: WEST, sum: 27
location: (887,979), orientation: NORTH, sum: 27
location: (887,499), orientation: SOUTH, sum: 27
location: (887,328), orientation: EAST, sum: 27
location: (887,206), orientation: WEST, sum: 27
location: (887,188), orientation: EAST, sum: 27
location: (887,101), orientation: NORTH, sum: 27
location: (886,980), orientation: SOUTH, sum: 27
location: (886,883), orientation: SOUTH, sum: 27
location: (886,700), orientation: NORTH, sum: 27
location: (886,482), orientation: EAST, sum: 27
location: (885,942), orientation: EAST, sum: 27
location: (885,424), orientation: EAST, sum: 27
location: (884,943), orientation: WEST, sum: 27
location: (883,969), orientation: EAST, sum: 27
location: (883,826), orientation: WEST, sum: 27
location: (883,729), orientation: NORTH, sum: 27
location: (883,705), orientation: NORTH, sum: 27
location: (882,730), orientation: NORTH, sum: 27
location: (882,728), orientation: SOUTH, sum: 27
location: (882,578), orientation: EAST, sum: 27
location: (882,527), orientation: NORTH, sum: 27
location: (882,403), orientation: SOUTH, sum: 27
location: (880,901), orientation: NORTH, sum: 27
location: (880,734), orientation: EAST, sum: 27
location: (880,341), orientation: NORTH, sum: 27
location: (879,358), orientation: SOUTH, sum: 27
location: (879,82), orientation: EAST, sum: 27
location: (879,61), orientation: SOUTH, sum: 27
location: (878,804), orientation: SOUTH, sum: 27
location: (878,575), orientation: WEST, sum: 27
location: (878,462), orientation: NORTH, sum: 27
location: (878,139), orientation: NORTH, sum: 27
location: (878,21), orientation: SOUTH, sum: 27
location: (877,476), orientation: NORTH, sum: 27
location: (877,461), orientation: SOUTH, sum: 27
location: (876,995), orientation: WEST, sum: 27
location: (876,801), orientation: EAST, sum: 27
location: (876,477), orientation: WEST, sum: 27
location: (876,47), orientation: EAST, sum: 27
location: (875,905), orientation: SOUTH, sum: 27
location: (875,608), orientation: NORTH, sum: 27
location: (875,577), orientation: NORTH, sum: 27
location: (875,559), orientation: EAST, sum: 27
location: (874,916), orientation: EAST, sum: 27
location: (874,879), orientation: NORTH, sum: 27
location: (874,821), orientation: SOUTH, sum: 27
location: (874,607), orientation: EAST, sum: 27
location: (874,531), orientation: SOUTH, sum: 27
location: (874,50), orientation: WEST, sum: 27
location: (873,892), orientation: NORTH, sum: 27
location: (873,867), orientation: SOUTH, sum: 27
location: (873,492), orientation: NORTH, sum: 27
location: (873,313), orientation: NORTH, sum: 27
location: (873,300), orientation: EAST, sum: 27
location: (873,176), orientation: WEST, sum: 27
location: (873,5), orientation: SOUTH, sum: 27
location: (872,745), orientation: SOUTH, sum: 27
location: (872,572), orientation: WEST, sum: 27
location: (872,445), orientation: EAST, sum: 27
location: (872,175), orientation: EAST, sum: 27
location: (872,12), orientation: WEST, sum: 27
location: (871,673), orientation: NORTH, sum: 27
location: (871,633), orientation: EAST, sum: 27
location: (871,397), orientation: NORTH, sum: 27
location: (870,942), orientation: EAST, sum: 27
location: (870,890), orientation: EAST, sum: 27
location: (870,756), orientation: NORTH, sum: 27
location: (870,689), orientation: NORTH, sum: 27
location: (870,666), orientation: WEST, sum: 27
location: (869,889), orientation: NORTH, sum: 27
location: (869,822), orientation: NORTH, sum: 27
location: (869,734), orientation: WEST, sum: 27
location: (869,659), orientation: WEST, sum: 27
location: (869,507), orientation: EAST, sum: 27
location: (869,468), orientation: WEST, sum: 27
location: (869,374), orientation: EAST, sum: 27
location: (869,239), orientation: EAST, sum: 27
location: (869,151), orientation: NORTH, sum: 27
location: (868,871), orientation: SOUTH, sum: 27
location: (868,590), orientation: WEST, sum: 27
location: (868,524), orientation: WEST, sum: 27
location: (868,508), orientation: WEST, sum: 27
location: (867,668), orientation: EAST, sum: 27
location: (866,524), orientation: EAST, sum: 27
location: (866,247), orientation: WEST, sum: 27
location: (866,82), orientation: SOUTH, sum: 27
location: (866,20), orientation: WEST, sum: 27
location: (865,876), orientation: WEST, sum: 27
location: (865,147), orientation: WEST, sum: 27
location: (864,649), orientation: EAST, sum: 27
location: (864,441), orientation: EAST, sum: 27
location: (864,418), orientation: SOUTH, sum: 27
location: (864,417), orientation: NORTH, sum: 27
location: (864,234), orientation: EAST, sum: 27
location: (863,788), orientation: EAST, sum: 27
location: (863,442), orientation: WEST, sum: 27
location: (863,416), orientation: SOUTH, sum: 27
location: (863,388), orientation: WEST, sum: 27
location: (863,43), orientation: WEST, sum: 27
location: (862,964), orientation: EAST, sum: 27
location: (862,824), orientation: SOUTH, sum: 27
location: (862,529), orientation: NORTH, sum: 27
location: (862,322), orientation: NORTH, sum: 27
location: (862,109), orientation: WEST, sum: 27
location: (861,999), orientation: WEST, sum: 27
location: (861,944), orientation: WEST, sum: 27
location: (861,530), orientation: SOUTH, sum: 27
location: (861,348), orientation: NORTH, sum: 27
location: (861,277), orientation: NORTH, sum: 27
location: (861,162), orientation: SOUTH, sum: 27
location: (861,126), orientation: EAST, sum: 27
location: (861,8), orientation: NORTH, sum: 27
location: (860,446), orientation: WEST, sum: 27
location: (860,276), orientation: EAST, sum: 27
location: (859,797), orientation: EAST, sum: 27
location: (859,497), orientation: NORTH, sum: 27
location: (859,445), orientation: EAST, sum: 27
location: (859,126), orientation: WEST, sum: 27
location: (858,830), orientation: WEST, sum: 27
location: (858,798), orientation: SOUTH, sum: 27
location: (858,444), orientation: NORTH, sum: 27
location: (858,314), orientation: WEST, sum: 27
location: (856,753), orientation: WEST, sum: 27
location: (856,453), orientation: NORTH, sum: 27
location: (856,451), orientation: NORTH, sum: 27
location: (856,449), orientation: EAST, sum: 27
location: (855,752), orientation: SOUTH, sum: 27
location: (855,452), orientation: SOUTH, sum: 27
location: (855,450), orientation: NORTH, sum: 27
location: (855,375), orientation: SOUTH, sum: 27
location: (854,972), orientation: WEST, sum: 27
location: (854,647), orientation: NORTH, sum: 27
location: (854,452), orientation: SOUTH, sum: 27
location: (854,45), orientation: NORTH, sum: 27
location: (853,646), orientation: EAST, sum: 27
location: (853,444), orientation: EAST, sum: 27
location: (853,220), orientation: SOUTH, sum: 27
location: (852,919), orientation: NORTH, sum: 27
location: (852,789), orientation: EAST, sum: 27
location: (852,599), orientation: WEST, sum: 27
location: (852,446), orientation: SOUTH, sum: 27
location: (851,646), orientation: WEST, sum: 27
location: (850,608), orientation: EAST, sum: 27
location: (850,504), orientation: EAST, sum: 27
location: (850,318), orientation: NORTH, sum: 27
location: (850,232), orientation: NORTH, sum: 27
location: (849,998), orientation: EAST, sum: 27
location: (849,859), orientation: NORTH, sum: 27
location: (849,384), orientation: SOUTH, sum: 27
location: (849,231), orientation: EAST, sum: 27
location: (849,95), orientation: EAST, sum: 27
location: (849,78), orientation: WEST, sum: 27
location: (848,805), orientation: SOUTH, sum: 27
location: (848,643), orientation: NORTH, sum: 27
location: (848,289), orientation: EAST, sum: 27
location: (848,232), orientation: WEST, sum: 27
location: (848,77), orientation: SOUTH, sum: 27
location: (848,72), orientation: EAST, sum: 27
location: (848,65), orientation: SOUTH, sum: 27
location: (847,864), orientation: NORTH, sum: 27
location: (847,549), orientation: WEST, sum: 27
location: (847,266), orientation: NORTH, sum: 27
location: (847,230), orientation: WEST, sum: 27
location: (846,888), orientation: SOUTH, sum: 27
location: (846,615), orientation: NORTH, sum: 27
location: (846,494), orientation: SOUTH, sum: 27
location: (845,889), orientation: EAST, sum: 27
location: (845,95), orientation: WEST, sum: 27
location: (844,978), orientation: SOUTH, sum: 27
location: (844,444), orientation: WEST, sum: 27
location: (843,443), orientation: SOUTH, sum: 27
location: (843,248), orientation: SOUTH, sum: 27
location: (842,770), orientation: NORTH, sum: 27
location: (842,44), orientation: SOUTH, sum: 27
location: (841,771), orientation: WEST, sum: 27
location: (841,688), orientation: EAST, sum: 27
location: (840,873), orientation: NORTH, sum: 27
location: (840,769), orientation: WEST, sum: 27
location: (840,251), orientation: NORTH, sum: 27
location: (840,2), orientation: NORTH, sum: 27
location: (839,558), orientation: WEST, sum: 27
location: (839,140), orientation: WEST, sum: 27
location: (839,21), orientation: NORTH, sum: 27
location: (839,10), orientation: NORTH, sum: 27
location: (838,854), orientation: SOUTH, sum: 27
location: (838,146), orientation: NORTH, sum: 27
location: (837,971), orientation: WEST, sum: 27
location: (837,738), orientation: SOUTH, sum: 27
location: (837,311), orientation: WEST, sum: 27
location: (837,277), orientation: EAST, sum: 27
location: (836,668), orientation: WEST, sum: 27
location: (835,759), orientation: EAST, sum: 27
location: (835,667), orientation: EAST, sum: 27
location: (835,646), orientation: EAST, sum: 27
location: (835,527), orientation: WEST, sum: 27
location: (835,503), orientation: NORTH, sum: 27
location: (834,674), orientation: SOUTH, sum: 27
location: (834,647), orientation: WEST, sum: 27
location: (834,529), orientation: EAST, sum: 27
location: (833,721), orientation: EAST, sum: 27
location: (833,604), orientation: SOUTH, sum: 27
location: (833,195), orientation: NORTH, sum: 27
location: (833,102), orientation: NORTH, sum: 27
location: (832,722), orientation: WEST, sum: 27
location: (832,439), orientation: SOUTH, sum: 27
location: (832,196), orientation: SOUTH, sum: 27
location: (832,194), orientation: EAST, sum: 27
location: (832,187), orientation: NORTH, sum: 27
location: (832,101), orientation: SOUTH, sum: 27
location: (831,721), orientation: EAST, sum: 27
